value;label
MWET4;Wetzel S/A PN
MXRF11;Fii Maxi Ren CI ER
MYPK3;Iochp-Maxion ON NM
NEOE3;Neoenergia ON NM
NGRD3;Neogrid ON NM
NINJ3;Getninjas ON NM
NORD3;Nordon Met ON
NTCO3;Grupo Natura ON NM
NUTR3;Nutriplant ON MA
NVRP11;Fip Nvraposo CI
ODER4;Oderich PN
ODPV3;Odontoprev ON NM
OFSA3;Ourofino S/A ON NM
OIBR3;Oi ON N1
OIBR4;Oi PN N1
OMGE3;Omega Ger ON NM
ONCO3;Oncoclinicas ON NM
ONEF11;Fii The One CI ER
OPCT3;Oceanpact ON NM
ORVR3;Orizon ON NM
OSXB3;Osx Brasil ON NM
PARD3;Ihpardini ON NM
PATC11;Fii Patria CI ER
PATI3;Panatlantica ON
PATI4;Panatlantica PN
PCAR3;P.Acucar-Cbd ON NM
PDGR3;Pdg Realt ON NM
PDTC3;Padtec ON NM
PEAB3;Par Al Bahia ON
PEAB4;Par Al Bahia PN
PETR3;Petrobras ON N2
PETR4;Petrobras PN N2
PETZ3;Petz ON NM
PFIN11;Fip Perfin CI
PFRM3;Profarma ON NM
PGMN3;Pague Menos ON NM
PINE4;Pine PN N2
PLAS3;Plascar Part ON
PLCR11;Fii Plural R CI ER
PLPL3;Planoeplano ON NM
PMAM3;Paranapanema ON NM
PNVL3;Dimed ON NM
PNVL4;Dimed PN N2
POMO3;Marcopolo ON N2
POMO4;Marcopolo PN N2
POSI3;Positivo Tec ON NM
POWE3;Focus On ON NM
PRIO3;Petrorio ON NM
PRNR3;Priner ON NM
PRSV11;Fii P Vargas CI
PSSA3;Porto Seguro ON EJ NM
PTBL3;Portobello ON NM
PTNT3;Pettenati ON ED
PTNT4;Pettenati PN ED
QUAL3;Qualicorp ON NM
RADL3;Raiadrogasil ON NM
RAIL3;Rumo S.A. ON NM
RAIZ4;Raizen PN N2
RANI3;Irani ON NM
RAPT3;Randon Part ON N1
RAPT4;Randon Part PN N1
RBRF11;Fii Rbralpha CI
RBRR11;Fii Rbrhgrad CI
RCRB11;Fii Riob Rc CI ER
RCSL3;Recrusul ON
RCSL4;Recrusul PN
RDNI3;Rni ON NM
RDOR3;Rede D Or ON NM
RECT11;Fii Rec Rend CI
RECV3;Petrorecsa ON NM
REDE3;Rede Energia ON
RENT3;Localiza ON NM
RNEW3;Renova ON N2
RNEW4;Renova PN N2
ROMI3;Inds Romi ON NM
RPAD3;Alfa Holding ON
RPAD5;Alfa Holding PNA
RPAD6;Alfa Holding PNB
RPMG3;Pet Manguinh ON
RRRP3;3r Petroleum ON NM
RSID3;Rossi Resid ON NM
RSUL4;Riosulense PN
SANB3;Santander Br ON ED
SANB4;Santander Br PN ED
SAPR3;Sanepar ON N2
SAPR4;Sanepar PN N2
SBFG3;Grupo Sbf ON NM
SBSP3;Sabesp ON NM
SCAR3;Sao Carlos ON NM
SCPF11;Fii Scp CI
SDIL11;Fii Sdi Log CI ER
SEER3;Ser Educa ON NM
SEQL3;Sequoia Log ON NM
SGPS3;Springs ON NM
SHOW3;Time For Fun ON NM
SHUL3;Schulz ON
SHUL4;Schulz PN
SIMH3;Simpar ON NM
SLCE3;Slc Agricola ON NM
SLED3;Saraiva Livr ON N2
SLED4;Saraiva Livr PN N2
SMFT3;Smart Fit ON NM
SMTO3;Sao Martinho ON NM
SNSY3;Sansuy ON
SNSY5;Sansuy PNA
SNSY6;Sansuy PNB
SOJA3;Boa Safra ON NM
SOMA3;Grupo Soma ON NM
SOND3;Sondotecnica ON
SOND5;Sondotecnica PNA
SOND6;Sondotecnica PNB
SPTW11;Fii Sp Downt CI ERA
SPXI11;It Now Spxi CI
SQIA3;Sinqia ON NM
STBP3;Santos Brp ON NM
STRX11;Fii Starx CI ER
SULA11;Sul America UNT N2
SULA3;Sul America ON N2
SULA4;Sul America PN N2
SUZB3;Suzano S.A. ON NM
SYNE3;Syn Prop Tec ON NM
TAEE11;Taesa UNT N2
TAEE3;Taesa ON N2
TAEE4;Taesa PN N2
TASA3;Taurus Armas ON N2
TASA4;Taurus Armas PN N2
TBOF11;Fii Tboffice CI
TCNO3;Tecnosolo ON
TCNO4;Tecnosolo PN
TCSA3;Tecnisa ON NM
TECN3;Technos ON NM
TEKA3;Teka ON
TEKA4;Teka PN
TELB3;Telebras ON
TELB4;Telebras PN
TEND3;Tenda ON NM
TESA3;Terra Santa ON NM
TFCO4;Track Field PN N2
TGAR11;Fii Tg Ativo CI ER
TGMA3;Tegma ON NM
THRA11;Fii Bm Thera CI
TIMS3;Tim ON NM
TKNO3;Tekno ON
TKNO4;Tekno PN
TOTS3;Totvs ON NM
TOUR11;Fii Tour Ii CI ER
TPIS3;Triunfo Part ON NM
TRAD3;Tc ON NM
TRIS3;Trisul ON NM
TRNT11;Fii Torre No CI
TRPL3;Tran Paulist ON EDJ N1
TRPL4;Tran Paulist PN EDJ N1
TRXF11;Fii Trx Real CI ER
TTEN3;3tentos ON NM
